Node,Target
1,2
1,4
1,9
1,10
1,11
1,15
1,18
1,20
1,22
1,29
1,35
1,38
1,42
1,44
1,57
1,67
1,68
1,71
1,72
1,75
1,76
1,87
1,89
1,90
1,95
1,96
1,112
1,113
1,115
1,116
1,117
1,118
1,123
1,124
1,142
1,146
1,151
1,152
1,154
1,155
1,156
1,158
1,160
1,174
1,175
1,178
1,179
1,194
1,196
1,214
1,222
1,223
1,231
1,247
1,249
1,250
1,255
1,256
1,258
1,259
1,260
1,264
1,276
1,290
1,291
1,292
1,296
1,300
1,301
1,304
1,305
1,309
1,330
1,331
1,333
1,346
1,347
1,351
1,370
1,373
1,377
1,379
1,395
1,396
1,416
1,432
1,439
1,454
1,455
1,459
1,462
1,472
1,474
1,483
1,491
1,493
1,503
1,507
1,517
1,519
1,523
1,529
1,534
1,543
1,545
1,554
1,563
1,578
1,586
1,587
1,594
1,596
1,613
1,617
1,623
1,625
1,636
1,637
1,649
1,683
1,697
1,701
1,709
1,710
1,725
1,734
1,736
1,744
1,747
1,753
1,783
1,796
1,804
1,810
1,817
1,821
1,846
1,874
1,888
1,891
1,896
1,944
1,951
1,955
1,958
1,964
1,994
1,1024
1,1025
1,1028
1,1029
1,1034
1,1043
1,1051
1,1060
1,1061
1,1063
1,1066
1,1072
1,1117
1,1128
1,1129
1,1136
1,1147
1,1148
1,1167
1,1177
1,1180
1,1186
1,1195
1,1197
1,1198
1,1232
1,1248
1,1251
1,1261
1,1267
1,1282
1,1283
1,1284
1,1285
1,1288
1,1295
1,1302
1,1309
1,1313
1,1315
1,1316
1,1318
1,1320
1,1331
1,1336
1,1337
1,1339
1,1340
1,1342
1,1353
1,1355
1,1356
1,1358
1,1365
1,1382
1,1392
1,1413
1,1436
1,1442
1,1445
1,1457
1,1458
1,1465
1,1475
1,1482
1,1483
1,1491
1,1492
1,1493
1,1494
1,1496
1,1500
1,1502
1,1505
1,1509
1,1510
1,1519
1,1520
1,1521
1,1522
1,1525
1,1538
1,1542
1,1570
1,1573
1,1574
1,1579
1,1580
1,1583
1,1589
1,1590
1,1606
1,1708
1,1715
1,1720
1,1724
1,1736
1,1742
1,1749
1,1750
1,1760
1,1793
1,1796
1,1822
1,1826
1,1835
1,1839
1,1840
1,1842
1,1843
1,1846
1,1847
1,1856
1,1860
1,1862
1,1867
1,1875
1,1877
1,1881
1,1885
1,1886
1,1900
1,1901
1,1923
1,1942
1,1952
1,2065
1,2090
1,2093
1,2102
1,2108
1,2109
1,2113
1,2117
1,2119
1,2127
1,2129
1,2136
1,2144
1,2147
1,2149
1,2152
1,2163
1,2166
1,2167
1,2173
1,2176
1,2177
1,2178
1,2181
1,2185
1,2198
1,2217
1,2227
1,2235
1,2238
1,2249
1,2252
1,2260
1,2261
1,2271
1,2273
1,2276
1,2281
1,2282
1,2296
1,2305
1,2315
1,2324
1,2334
1,2338
1,2342
1,2351
1,2352
1,2367
1,2368
1,2375
1,2378
1,2383
1,2391
1,2401
1,2402
1,2427
1,2448
1,2498
1,2559
1,2586
1,2605
1,2619
1,2632
1,2687
1,2695
1,2700
1,2707
1,2713
1,2725
1,2731
1,2742
1,2743
1,2744
1,2746
1,2747
1,2750
1,2752
1,2754
1,2756
1,2763
1,2764
1,2767
1,2771
1,2772
1,2775
1,2779
1,2780
1,2782
1,2783
1,2784
1,2786
1,2793
1,2795
1,2801
1,2806
1,2808
1,2810
1,2814
1,2820
1,2823
1,2826
1,2830
1,2837
1,2844
1,2845
1,2846
1,2848
1,2858
1,2870
1,2876
1,2881
1,2892
1,2898
1,2904
1,2907
1,2909
1,2920
1,2926
1,2927
1,2941
1,2942
1,2945
1,2947
1,2952
1,2962
1,2966
1,2989
1,2996
1,2999
1,3000
1,3004
1,3006
1,3010
1,3013
1,3020
